ServerTimeStamp,OriginalTimeStamp,apiKey,Suhu,TDS,Salinitas,pH,Turbiditas
"31/05/2025 07:37:11","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.25","14.81","30.82","6.57","3.79"
"31/05/2025 07:37:15","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.31","14.99","32.15","6.57","3.57"
"31/05/2025 07:37:19","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.31","14.87","32.04","6.58","3.77"
"31/05/2025 07:37:24","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.86","31.98","6.57","3.7"
"31/05/2025 07:37:27","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.81","31.81","6.58","3.81"
"31/05/2025 07:37:32","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","15","31.82","6.57","3.87"
"31/05/2025 07:37:36","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.93","31.77","6.57","3.84"
"31/05/2025 07:37:40","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.81","31.94","6.59","3.8"
"31/05/2025 07:37:44","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","15.06","31.6","6.57","3.75"
"31/05/2025 07:37:48","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.83","31.73","6.57","3.59"
"31/05/2025 07:37:52","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","15.03","31.33","6.58","3.75"
"31/05/2025 07:37:56","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.86","31.52","6.57","3.52"
"31/05/2025 07:38:00","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.31","15.08","31.58","6.57","3.78"
"31/05/2025 07:38:04","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.31","14.88","31.69","6.58","3.55"
"31/05/2025 07:38:08","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.83","30.51","6.59","3.61"
"31/05/2025 07:38:12","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.31","14.98","31.14","6.57","3.81"
"31/05/2025 07:38:16","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","15","31.85","6.57","3.85"
"31/05/2025 07:38:20","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.31","14.97","31.74","6.57","3.81"
"31/05/2025 07:38:25","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.31","15.08","31.66","6.57","3.86"
"31/05/2025 07:38:29","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.31","14.81","31.54","6.58","3.52"
"31/05/2025 07:38:33","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.84","31.84","6.58","3.86"
"31/05/2025 07:38:37","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.82","31.66","6.57","3.75"
"31/05/2025 07:38:41","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.93","28.5","6.57","3.65"
"31/05/2025 07:38:46","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","14.9","28.87","6.59","3.64"
"31/05/2025 07:38:50","2025-05-31 7:37:08","AKfycbzI-Z8_x_y7IX-iUJd3nko3GGvT0KR8PKD-YWbbiZi2ddedcqhooUPjTgffgTx0Oo2a","26.37","15.08","29.19","6.57","3.78"
